 Time Step CPU E_bond E_angle E_dihed E_impro E_pair E_vdwl E_coul E_long E_tail PotEng Temp Press Lx Ly Lz Density
1050.000000 1050.000000 1050000.000000 2589.766500 26586.048530 42380.581168 10237.427936 0.000000 -6468.317142 -10508.803431 14752.595720 -10712.109849 -1136.721839 72735.739656 498.567270 399.799755 5.113477 5.113477 5.113477 711.749550
1060.000000 1060.000000 1060000.000000 2614.354500 26813.956450 42254.190896 10439.390034 0.000000 -6428.953233 -10325.749666 14608.928457 -10712.132024 -1138.335148 73078.584984 496.982200 -538.705670 5.111061 5.111061 5.111061 712.759730
1070.000000 1070.000000 1070000.000000 2639.248100 27040.777784 42553.677432 10359.144262 0.000000 -6510.669263 -10507.072929 14708.583387 -10712.180140 -1135.778264 73442.927704 501.957920 698.817845 5.114893 5.114893 5.114893 711.158740
1080.000000 1080.000000 1080000.000000 2664.238500 27401.881251 41652.249276 10358.866444 0.000000 -7028.089899 -10902.604440 14586.644054 -10712.129514 -1142.453668 72384.907072 501.175650 43.610787 5.104911 5.104911 5.104911 715.338510
1090.000000 1090.000000 1090000.000000 2688.765300 27428.963446 41714.873296 10100.050898 0.000000 -7551.214582 -11399.810917 14560.860991 -10712.264657 -1157.523097 71692.672640 502.911370 -1037.280034 5.082662 5.082662 5.082662 724.774100
1100.000000 1100.000000 1100000.000000 2713.639900 26653.047759 42310.520088 10124.600518 0.000000 -6599.902686 -10724.462690 14837.202476 -10712.642472 -1142.423711 72488.264424 500.612580 -171.004906 5.104956 5.104956 5.104956 715.319750
1110.000000 1110.000000 1110000.000000 2738.370500 26604.612938 42710.318024 10346.644980 0.000000 -6720.990994 -10677.336625 14668.932038 -10712.586406 -1152.561166 72940.584112 500.383010 -97.955942 5.089945 5.089945 5.089945 721.667220
1120.000000 1120.000000 1120000.000000 2762.873100 26905.589815 41936.838680 10503.957941 0.000000 -6481.632303 -10406.548145 14636.956654 -10712.041231 -1139.233411 72864.753296 500.668400 567.922481 5.109717 5.109717 5.109717 713.322170
1130.000000 1130.000000 1130000.000000 2787.514800 27067.316896 42277.730080 10419.537373 0.000000 -6858.670534 -10887.362965 14740.832822 -10712.140392 -1139.943226 72905.911304 501.853180 -476.322208 5.108656 5.108656 5.108656 713.766600
1140.000000 1140.000000 1140000.000000 2812.297500 27150.970118 41735.985342 10114.373567 0.000000 -6707.540270 -10737.124311 14741.662091 -10712.078050 -1133.072136 72293.787920 503.811370 -390.908506 5.118962 5.118962 5.118962 709.464320
1150.000000 1150.000000 1150000.000000 2836.960600 26635.418894 42374.916032 10170.313647 0.000000 -6644.104973 -10609.854562 14678.050647 -10712.301058 -1131.767649 72536.543600 499.580980 19.497226 5.120928 5.120928 5.120928 708.647530
